皇華十詠 [[713, 262], [1208, 257], [1212, 382], [717, 386]]
山東水程 [[775, 443], [1164, 440], [1167, 529], [778, 535]]
九 [[983, 592], [1050, 590], [1051, 652], [984, 654]]
漢楚兵爭局已空 [[654, 694], [1220, 691], [1223, 784], [657, 787]]
遙天曠野看山東 [[653, 815], [1235, 809], [1238, 900], [656, 903]]
泗亭不見高皇廟 [[658, 927], [1233, 924], [1236, 1017], [661, 1021]]
曹閘猶傳宋子功 [[676, 1046], [1240, 1043], [1243, 1134], [679, 1137]]
曲阜香燈明道脈 [[682, 1164], [1252, 1161], [1255, 1245], [685, 1251]]
濟寧絃誦振文風 [[676, 1280], [1257, 1273], [1260, 1362], [679, 1369]]
聖墻幾仞瞻彌遠 [[687, 1396], [1255, 1390], [1258, 1482], [690, 1485]]
萬古巍巍泰岳崇 [[701, 1508], [1257, 1506], [1260, 1597], [704, 1603]]
