皇華十詠 [[696, 263], [1192, 260], [1195, 379], [699, 381]]
楊州觀燈 [[748, 447], [1147, 443], [1149, 532], [750, 534]]
其八 [[873, 588], [1027, 586], [1029, 652], [875, 654]]
挹引江淮應斗牛 [[628, 700], [1193, 696], [1195, 779], [630, 781]]
繁花佳麗一楊州 [[630, 815], [1197, 814], [1199, 892], [632, 896]]
七峰嶺傍星高掛 [[637, 934], [1202, 930], [1204, 1011], [639, 1013]]
九曲池邊月倒鉤 [[638, 1050], [1201, 1046], [1203, 1124], [640, 1128]]
柳茁隋園陰障署 [[633, 1163], [1211, 1161], [1213, 1245], [635, 1247]]
詩題呂思爭秋 [[641, 1278], [1216, 1276], [1218, 1363], [643, 1365]]
傳花三數山堂妓 [[647, 1400], [1220, 1398], [1221, 1477], [648, 1479]]
學唱時招俠客遊 [[653, 1512], [1223, 1511], [1224, 1589], [654, 1590]]
